"id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","id_tipo"
165,BOSQUES SOLARES DE LOS LLANOS 4,19.9,2022-05-31,95520.0,16564,85570000000,139,27892.0,1
166,BOSQUES SOLARES DE LOS LLANOS 5,17.9,2022-05-31,85920.0,14899,76970000000,125,25089.0,1
167,CABRESTERO,3.0,2022-04-15,14400.0,2497,12900000000,21,4205.0,1
168,LA MEDINA,9.9,2022-07-31,47520.0,8240,42570000000,69,13876.0,1
169,LOS CABALLEROS,9.9,2022-07-31,47520.0,8240,42570000000,69,13876.0,1
170,CERRITOS,9.9,2022-07-31,47520.0,8240,42570000000,69,13876.0,1
171,LA TOLUA,19.9,2023-03-02,95520.0,16564,74625000000,139,27892.0,1
172,TIERRA LINDA,9.9,2023-03-02,47520.0,8240,37125000000,69,13876.0,1
173,CSF SAN FELIPE (TRINA SOLAR),90.0,2023-06-01,432000.0,74913,337500000000,626,126144.0,1
174,ALMA SOLAR I,9.8,2023-09-30,47040.0,8157,9800000,68,13736.0,1
175,SINCÉ,19.9,2022-07-31,95520.0,16564,85570000000,139,27892.0,1
176,PLANETA RICA,19.9,2022-12-31,95520.0,16564,74625000000,139,27892.0,1
177,CSF CARTAGO (TRINA SOLAR),99.0,2023-07-01,475200.0,82405,371250000000,689,138758.0,1
178,GRANJA SOLAR KAIROS I,19.9,2023-06-30,95520.0,16564,74625000000,139,27892.0,1
179,GRANJA SOLAR KAIROS II,19.9,2023-06-30,95520.0,16564,74625000000,139,27892.0,1
180,GRANJA SOLAR KAIROS III,19.9,2023-06-30,95520.0,16564,74625000000,139,27892.0,1
181,PÉTALO DEL MAGDALENA I,9.9,2023-12-31,47520.0,8240,37125000000,69,13876.0,1
182,ATLANTICO SOLAR 1 (BARANOA),19.3,2022-12-31,92640.0,16065,72375000000,134,27051.0,1
183,ATLANTICO SOLAR 2 (POLO NUEVO),9.9,2022-12-31,47520.0,8240,37125000000,69,13876.0,1
184,DELPHI HELIOS 1 Fase 2,6.1,2022-11-30,29280.0,5077,22875000000,42,8550.0,1
185,CAMPANO (TRINA SOLAR),99.9,2023-09-30,479520.0,83154,374625000000,695,140020.0,1
186,WESP01,12.0,2022-08-05,115200.0,19977,51600000000,33,33638.0,2
187,PARQUE SOLAR BADEL,8.6,2023-12-31,41280.0,7158,32250000000,60,12054.0,1
188,PARQUE SOLAR CORDOBITA,9.9,2023-03-31,47520.0,8240,37125000000,69,13876.0,1
189,BRISAS – YAGUARÁ – AIPE,26.0,2022-12-31,124800.0,21642,97500000000,181,36442.0,1
190,DEL RIO Y MAGDALENA (CASABE - CANTAGALLO),6.0,2023-12-31,28800.0,4994,22500000000,42,8410.0,1
191,OCELOTE,14.0,2999-12-31,67200.0,11653,52500000000,97,19622.0,1
192,BETHA (EDPR),270.0,2022-09-30,2592000.0,449480,1012500000000,751,756864.0,2
193,ALPHA (EDPR),212.0,2022-12-31,2035200.0,352925,795000000000,589,594278.0,2
